"","Balancing Authority","Data_Date","Hour_Number","Local Time at End of Hour","UTC Time at End of Hour","Demand_Forecast","Demand_MW","Net_Generation","Total_Interchange","Sum_Valid_DIBAs","Demand_Adjusted","Net_Generation_Adjusted","Day_Ahead_Hourly_Price","Real_Time_Hourly_Price","Energy_Consumption","Year"
"1","PJM",2019-01-01,1,2019-01-01 01:00:00,2019-01-01 06:00:00,73874,73926,70094,3458,-3321,73926,70094,2,1.7,72062,"2019"
"2","PJM",2019-01-01,2,2019-01-01 02:00:00,2019-01-01 07:00:00,71513,72062,69079,4191,-3745,72062,69079,2.1,1.2,70756,"2019"
"3","PJM",2019-01-01,3,2019-01-01 03:00:00,2019-01-01 08:00:00,70284,70756,68034,3905,-3221,70756,68034,2.2,1.9,69515,"2019"
"4","PJM",2019-01-01,4,2019-01-01 04:00:00,2019-01-01 09:00:00,69889,69515,67307,3875,-3403,69515,67307,2.2,2,68853,"2019"
"5","PJM",2019-01-01,5,2019-01-01 05:00:00,2019-01-01 10:00:00,70949,68853,67418,4409,-4389,68853,67418,2.3,2.1,68963,"2019"
"6","PJM",2019-01-01,6,2019-01-01 06:00:00,2019-01-01 11:00:00,74585,68963,68335,4363,-6230,68963,68335,2.3,2.1,69854,"2019"
"7","PJM",2019-01-01,7,2019-01-01 07:00:00,2019-01-01 12:00:00,79821,69854,68793,4158,-5969,69854,68793,2.3,2.1,70903,"2019"
"8","PJM",2019-01-01,8,2019-01-01 08:00:00,2019-01-01 13:00:00,84141,70903,70197,3503,-5981,70903,70197,2.2,2.1,72179,"2019"
"9","PJM",2019-01-01,9,2019-01-01 09:00:00,2019-01-01 14:00:00,86487,72179,72765,4068,-7081,72179,72765,2.2,2.1,74696,"2019"
"10","PJM",2019-01-01,10,2019-01-01 10:00:00,2019-01-01 15:00:00,87708,74696,74651,3974,-7392,74696,74651,2.3,2.1,77250,"2019"
"11","PJM",2019-01-01,11,2019-01-01 11:00:00,2019-01-01 16:00:00,88668,77250,76318,3990,-6662,77250,76318,2.4,2.4,78965,"2019"
"12","PJM",2019-01-01,12,2019-01-01 12:00:00,2019-01-01 17:00:00,88976,78965,76312,4209,-5448,78965,76312,2.9,2.8,79373,"2019"
"13","PJM",2019-01-01,13,2019-01-01 13:00:00,2019-01-01 18:00:00,88719,79373,75383,3909,-6276,79373,75383,2.9,3,79311,"2019"
"14","PJM",2019-01-01,14,2019-01-01 14:00:00,2019-01-01 19:00:00,88649,79311,75240,2892,-5958,79311,75240,2.8,2.3,79817,"2019"
"15","PJM",2019-01-01,15,2019-01-01 15:00:00,2019-01-01 20:00:00,88238,79817,74740,1956,-6022,79817,74740,2.8,2.5,80800,"2019"
"16","PJM",2019-01-01,16,2019-01-01 16:00:00,2019-01-01 21:00:00,88592,80800,76867,1451,-6424,80800,76867,2.6,3.1,83593,"2019"
"17","PJM",2019-01-01,17,2019-01-01 17:00:00,2019-01-01 22:00:00,90539,83593,83396,1556,-5914,83593,83396,2.4,2.5,89012,"2019"
"18","PJM",2019-01-01,18,2019-01-01 18:00:00,2019-01-01 23:00:00,95040,89012,85584,1663,-3919,89012,85584,2.3,2,89834,"2019"
"19","PJM",2019-01-01,19,2019-01-01 19:00:00,2019-01-02 00:00:00,95446,89834,84904,3572,-2106,89834,84904,2.3,2.2,89119,"2019"
"20","PJM",2019-01-01,20,2019-01-01 20:00:00,2019-01-02 01:00:00,93890,89119,82669,2611,-892,89119,82669,2.3,2.2,87728,"2019"
"21","PJM",2019-01-01,21,2019-01-01 21:00:00,2019-01-02 02:00:00,93560,87728,83838,2000,-720,87728,83838,2.3,2.1,85318,"2019"
"22","PJM",2019-01-01,22,2019-01-01 22:00:00,2019-01-02 03:00:00,91436,85318,80423,4444,-619,85318,80423,2.3,2.1,81720,"2019"
"23","PJM",2019-01-01,23,2019-01-01 23:00:00,2019-01-02 04:00:00,87234,81720,74542,4608,-5102,81720,74542,2.3,2,78215,"2019"
"24","PJM",2019-01-01,24,2019-01-02 00:00:00,2019-01-02 05:00:00,82650,78215,71608,1841,-2829,78215,71608,2.5,2.2,76219,"2019"
"25","PJM",2019-01-02,1,2019-01-02 01:00:00,2019-01-02 06:00:00,76233,76219,73146,3133,-1621,76219,73146,3.1,3,75598,"2019"
"26","PJM",2019-01-02,2,2019-01-02 02:00:00,2019-01-02 07:00:00,74388,75598,72908,3619,-7162,75598,72908,3.2,3.1,75736,"2019"
"27","PJM",2019-01-02,3,2019-01-02 03:00:00,2019-01-02 08:00:00,73530,75736,72786,3124,-7105,75736,72786,3.3,2.8,75872,"2019"
"28","PJM",2019-01-02,4,2019-01-02 04:00:00,2019-01-02 09:00:00,73569,75872,72898,2977,-1684,75872,72898,3.5,3.1,77069,"2019"
"29","PJM",2019-01-02,5,2019-01-02 05:00:00,2019-01-02 10:00:00,75432,77069,77380,2779,-4155,77069,77380,3.3,2.7,81476,"2019"
"30","PJM",2019-01-02,6,2019-01-02 06:00:00,2019-01-02 11:00:00,79643,81476,83553,2933,-5343,81476,83553,3.2,2.8,88974,"2019"
"31","PJM",2019-01-02,7,2019-01-02 07:00:00,2019-01-02 12:00:00,86115,88974,90045,2989,-4364,88974,90045,3.1,2.4,94629,"2019"
"32","PJM",2019-01-02,8,2019-01-02 08:00:00,2019-01-02 13:00:00,90833,94629,90430,3216,-4056,94629,90430,3,2.5,96052,"2019"
"33","PJM",2019-01-02,9,2019-01-02 09:00:00,2019-01-02 14:00:00,92583,96052,91253,2993,-3611,96052,91253,2.9,2.5,96343,"2019"
"34","PJM",2019-01-02,10,2019-01-02 10:00:00,2019-01-02 15:00:00,92862,96343,93133,3414,-3843,96343,93133,2.8,2.2,96829,"2019"
"35","PJM",2019-01-02,11,2019-01-02 11:00:00,2019-01-02 16:00:00,92938,96829,92676,4034,-3479,96829,92676,3.1,2.6,96764,"2019"
